id,firstName,lastName,dateOfBirth,attending,medicalPlan,allergies,authorizedPersons,emergencyContact1Name,emergencyContact1Number,emergencyContact2Name,emergencyContact2Number,userKey
1,Eric,Walker,2023-08-15,False,True,"Shellfish, Dairy","Nathan Smith, Alex Walters",Karen Johnson,6286526558,James Tran,6432730600,1
2,Daniel,Mason,2022-04-14,False,True,"Dairy, Gluten, Eggs","Anthony Harrison, Samuel Mullins",Laura Li,7631967417,Gina Green,5121822063,1
3,Crystal,Pham,2021-12-27,False,True,"Gluten, Eggs",Ernest Neal,Eric Charles,2861171798,Carl Thomas,2218136382,1
4,Jacob,Mcdowell,2020-01-03,True,False,"Dairy, Peanuts, Gluten","Trevor Velasquez, Scott Jackson",Dana Robinson,3967413247,Devon Moran,2901606512,2
5,Sara,Fleming,2023-01-23,True,True,"Eggs, Dairy","Elizabeth Foster, Javier Newman, Roberta King",Amanda Peterson,2954149108,Steven Benton,6881629716,2
6,Dana,Ortiz,2022-02-25,True,True,"Dairy, Shellfish, Gluten","Stacy Evans, Gregg Cooper, Rebecca Parker",Michael Jones,2337318734,Nicole Williams,8983501768,3
7,Rebecca,Hudson,2022-02-07,True,True,Peanuts,Steven Avila,Brooke Miller,7077084144,Elizabeth Daniel,9541442039,3
8,Sarah,Zhang,2021-01-30,True,False,Peanuts,"Daniel Martin, Sara Lucas",Rachel Valentine,5017973353,Jennifer Turner,4853542213,3
9,Dana,Lewis,2024-09-27,False,True,Shellfish,"Jonathan Hays, Joel Smith",Linda Calhoun,3746796809,Erica Brown,6157123106,3
10,Paige,Morrison,2021-07-29,True,True,Peanuts,"Charles Mcpherson, Tara Evans",Anthony Johnson,6388605549,Crystal Miles,1331264530,3
11,Theodore,Bates,2020-08-14,False,True,"Shellfish, Dairy",Kyle Bowen,Tammy Johnson,4062372818,Mckenzie Fuller,3567945225,4
12,Holly,Mcdaniel,2022-05-25,True,False,Peanuts,"Rhonda Bradley, Christine Moss",Christopher Torres,5424462416,Joanne Lynn,2632924428,4
13,Amanda,Ruiz,2025-01-06,True,True,"Eggs, Shellfish, Gluten","Deborah Simmons, Emily Koch",Jennifer Davis,3465046819,Catherine Camacho,1633711504,4
14,Leslie,Stephens,2023-09-25,True,False,"Peanuts, Gluten, Eggs","Ryan Fields, Victoria Castro",Amanda Schneider,7062375193,Steven Hood,1061174923,4
15,Zoe,Elliott,2024-11-29,False,False,"Gluten, Eggs, Peanuts",Jasmine Floyd,Richard Brown,5609328741,Janet Burns,4761876791,5
16,Lisa,Trevino,2022-10-29,False,True,"Shellfish, Gluten, Eggs","Shannon Shepherd, Julian Johnson, Andrew Strickland",Francis Holmes,7021202561,Lance Alvarado,1384180444,5
17,Shaun,Lester,2022-02-09,True,True,,"Daniel Mills, Jacqueline Walker, George Turner",Dr. Theresa Gonzalez,3153377393,Kayla Owens DDS,7203022168,5
18,Michael,Graham,2024-01-10,False,False,"Dairy, Shellfish, Peanuts","Janet Alvarado, Steven David, Sean Morgan",Kayla Miller,2217357614,Elizabeth Bradley,3220860630,5
19,Candace,Trujillo,2020-09-22,False,False,"Shellfish, Dairy","Tina Fuentes, Vincent Wilson, Carl White",Andrea Gutierrez,4710377340,Julie Henry,9911256739,5
20,Christina,Castillo,2023-05-02,True,False,Peanuts,Gloria Smith,David Baker,4925535174,Ian Parks,2364160480,6
21,Dawn,Wilson,2024-11-06,False,False,"Eggs, Gluten",Elizabeth Shields,Robert Davis,5535446265,Daniel Smith,5819907961,6
22,Nicole,Smith,2024-10-23,False,True,Shellfish,Kyle Rivera,Chris Preston,1407326905,Patrick Armstrong,8668354306,6
23,Benjamin,Ortiz,2021-08-21,False,True,Peanuts,"Wanda Barr, Scott White, Danielle Miller",Adam Anderson,5452817289,Ryan Allen,1771461528,7
24,Dennis,Holt,2020-02-21,False,False,Peanuts,"Jacob Weaver, Deborah Peterson, Michelle Sloan",Julie Davis,1686327732,Maria Clark,3793846079,7
25,Jerry,Mathis,2020-03-23,False,False,"Eggs, Dairy","Whitney Castro, Anne Ramsey, Janet Conway",Christopher Barber,8497674857,David Cook,1303938212,7
26,Angelica,Roberts,2021-11-28,False,False,,"Cynthia Fuentes, David Rangel",Jocelyn Molina,1204864308,Bradley Palmer,2223176613,7
27,Thomas,Nash,2022-07-02,False,False,Shellfish,Michael Parsons,Shelly Mcmillan,6422387281,Jennifer Jacobs,8359090148,8
28,Cynthia,Costa,2019-12-17,True,True,"Dairy, Shellfish, Eggs","Lauren Stein, Anthony Castillo, Chad Thompson",Laura Evans,4455342107,Elizabeth Parsons,5339724279,8
29,Seth,Bell,2019-11-22,False,True,Peanuts,"John Moore, Larry Fuller, Samantha Franklin",Eric Thompson,2062754557,James Williams,5490939297,8
30,Lisa,Barrera,2021-12-24,True,True,Shellfish,"Norman Johnson, Marcia Richardson",Danielle Cline,8512651994,Debra Gilmore,2446791950,8
31,Matthew,Rodriguez,2021-08-27,True,True,"Shellfish, Dairy, Eggs",Kevin Cummings,Melissa Conner,6559683381,Jennifer Mckenzie,4782287588,9
32,Kelly,Lopez,2020-11-15,True,False,Eggs,"Joshua Rogers, Joshua Fernandez, Hannah Fitzgerald",Joseph Hansen,4874418646,Donald Cain,8763104812,9
33,Michele,Ruiz,2023-04-29,True,False,"Peanuts, Gluten","Timothy Clark, Stephanie Manning",Nicholas Hamilton,6487032925,Michael Floyd,2444774621,9
34,Sarah,Pearson,2020-01-21,False,False,,"Amber Hill, Peter Hines",Michael Allen,1129926743,Ashley Henderson,9177006300,10
35,Jason,Schroeder,2023-07-05,False,True,,"Robert Roberts, Corey Sandoval",Julie Nolan,9858562825,Zachary Pruitt,1813875548,10
36,Dana,Gutierrez,2019-06-16,False,False,Peanuts,"Cynthia Horton, Juan Arias",Christina Lewis,8716711719,Carly Harrison,6583946777,10
37,Jose,Rodriguez,2023-07-18,False,False,Dairy,Paula Mack,Angelica Baker,3841581111,Molly Gibson,3317940471,10
38,Jessica,Smith,2021-03-25,True,True,Shellfish,"Amanda Schmidt, Stacy Walker",Dr. Tricia Myers DVM,1085246138,Hayley Ward,8728638894,10
39,Shannon,Richardson,2020-11-03,False,True,,Edward Irwin,Kristina Moore,1473462832,Kelli Griffith,7399734949,11
40,Donald,Burke,2022-11-28,True,False,"Peanuts, Dairy",Michelle Werner,William Page,2665398832,Frederick Stone,2788386078,11
41,David,Fitzpatrick,2024-06-04,False,True,,"Victor Gonzalez, Gregory Glenn",Wesley Silva,9558631946,Donna Johnson,3274164064,11
42,Matthew,Burton,2020-08-05,True,False,Peanuts,"Veronica Jackson, Hector Sherman, William Barry",Molly Juarez,4147901652,Martha Mitchell,2210131202,11
43,Sandra,Clay,2025-01-10,False,True,,"Luis Gutierrez, Patricia Beltran, Benjamin Rodriguez",Nicholas Lopez,4521076575,Angela Woods,4228286025,11
44,Kevin,Miller,2019-04-15,False,False,"Shellfish, Dairy, Gluten",John Harmon,Melissa Hall,7786622554,Brittany Silva,5063215019,12
45,Gary,Olson,2021-08-08,True,True,,David Poole,Julia Gonzalez,4981917053,Natasha Gross,5213316245,12
46,Roberto,Stewart,2022-10-15,False,True,"Peanuts, Dairy",Lindsey Mata,Tiffany Wells,2003658873,Tina Collins,6809490338,12
47,Daniel,Brown,2021-02-18,False,True,"Shellfish, Dairy","Tina Harris MD, Nicole Clark",Charles Weaver,4778724506,Jasmine Morales,3833227479,12
48,Nancy,Clarke,2024-06-22,False,False,"Shellfish, Eggs","Kelly Erickson, Alex May, Christina Taylor",James Warren,8088056977,Sara Bush,3999742382,13
49,Kristin,French,2023-07-26,True,True,"Shellfish, Gluten, Peanuts","Kimberly Johnson, Tammie Huff, Mindy Morrow",Trevor Williams,4299895595,Stephen Hampton,2437307506,13
50,Benjamin,Edwards,2022-01-15,True,False,"Peanuts, Dairy",Haley Rosales,Noah Brown,2828674911,Larry Moore,4826336673,13
